French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
L’incarnation,NA,Aln8baiosow8gan,Nom,"Laurent, 1884, p.13",,
Naissance,NI,Aln8baow8gan,Nom,Charland,,
"Gingembre sauvage, Asarum canadense",NA,Aln8batipwabel,Nom;Plante,"Laurent, 1884, p.32",,
Moccasins,NI,Aln8baïmkezen,,???,,
À la façon abénakise « Abénakiment »,Adv,Aln8baïwi,Adverbe,"Day, 1994, p.32",,
Bannique (pain autochtone),NA,Alnab8n,,"Day, 1994, p.30",,
Fer,NA,Alnahlagw,,"Wz8khilain, 1830, p.50",,
Chemin de fer,NI,Alnahlagw8wdi,Nom;Lieu,"Laurent, 1884, p.40",,
Droite,Adv,Alnakaïwi,,,,
"Ordinaire, commun, habituel",Adv,Alni,,"Laurent, 1884, p.93",,
Tomahawk,NI,Alni-tmahigan,,"Laurent, 1884, p.63","Laurent, 1884, p.19",
Pruche,NA,Alnisedi,Nom;Plante;Arbre,"Wz8khilain, 1830, p.47",,
Travaille,VAI,Aloka,,"Laurent, 1884, p.182",,
Travaillez,VAI,Alokagw,,"Laurent, 1884, p.182",,
Quelqu'un travaille,VAI isc,Alokamek,,"Laurent, 1884, p.182","Laurent, 1884, p.63",
Travail,NI,Alokaw8gan,Nom,"Wz8khilain, 1830, p.63",,
Plancher,NI,Alsaktak,Maison,"Day, 1994, p.36",,
Presque,,Alwa,,"Wz8khilain, 1830, p.45",,
"Presque, Probablement",Adv,Alwa,Adverbe,"Aubéry, 1715, p.415",,
"Il se sent, il se sent dans un certain état de santé.",VAI;3;s;Présent,Amalso,,"Day, 1994, p.37",,
"Pirogue, canot construit d'un seul arbre creusé.",NI,Amasol,Nom;Objet;Embarcation,"Wz8khilain, 1830, p.51",,
Viande de castor,NI,Amiskwiia,,,,
Cuillière,NA,Amkw8n,,"Wz8khilain, 1830, p.45",,
Panier à cuillère,NI,Amkw8ninoda,,"Wz8khilain, 1830, p.63","Laurent, 1884, p.36",
Manteau,I?,Anabi,,"Wz8khilain, 1830, p.51",,
Assiette,NI,Anasiat,Maison;objet,"Nolett-Ille, 1996, p.3",,
Collier médaillon honorifique,NI,Anaskam8n,Nom;Objet,"Day, 1994, p.38",,
Gland de chêne rouge,NI,Anaskemen,Nom;Plante;Fruit,"Laurent, 1884, p.31",,
Chêne rouge,NA,Anaskemezi,Nom;Plante;Arbre,"Laurent, 1884, p.31",,
Aussitôt que,Conjonction,Anegitta,,"Laurent, 1884, p.90",,
Orme,NA,Anibi,Nom;Plante;Arbre,"Wz8khilain, 1830, p.51",,
Tamia,NA,Anikses,Animal;Mammifère,"Wz8khilain, 1830, p.51",,
Oignon,NA,Anl8baïwinos,Plante;Légume,"Day, 1994, p.32",,
Tuque,NI,Antikw,Nom;Objet;Vêtement,"Day, 1994, p.39",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Marte,NA,Apanakes,Animal;Mammifère,"Wz8khilain, 1830, p. 58",,
Pomme,NA,Aples,Nom;Plante;Fruit,"Wz8khilain, 1830, p.45",,
Pommier,NA,Aplesakwam,Nom;Plante;Arbre,"Laurent, 1884, p.31",,
Mousse et lichen,NI,Asakwam,Nom;Plante,"Laurent, 1884, p.32",,
Raton-Laveur,NA,Asban,Animal;Mammifère,"Wz8khilain, 1830, p.45",,
Lèvre,NI,Asbaskedon,,"Nolett-Ille, 1996, p.27",,
Le long de,Adv,Aseb8ïwi,,"Laurent, 1884, p.89",,
Cheval,NA,Ases,Animal;Mammifère,"Wz8khilain, 1830, p.45","Day, 1994, p.42",
Toujours à partir de maintenant,VII,Askamat,,"Wz8khilain, 1830, p.33",,
L’éternel,VAI;Participe,Askaminnowit,Verbe,"Laurent, 1884, p.13",,
Toujours (pour toujours)),,Askamiwi,,"Nolett-Ille, 1996, p.49",,
"Toujours(dans le future), pour toujours, eternellement à partir de maintenant.",Adv,Askamiwi,Adverbe,"Day, 1994, p.42",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Corne/Bois d'animaux,NA,Askan,,"Wz8khilain, 1830, p.45",,
Quelquechose (I) est vert.,VII;3;s;présent,Askaskwigen,,"Laurent, 1884, p.45",,
Quelqu'un attend quelquechose (A) ou quelqu'un,VTA,Askawah8mek,,"Laurent, 1884, p.182",,
Quoi qu'il en soit,,Askawana,,,,
Attends-moi,VTA,Askawihi,,"Nolett-Ille, 1996, p.2",,
Quelqu'un attend quelquechose (I),VTI,Askawit8zik,,"Laurent, 1884, p.182",,
Concombre,NI,Askitamek,,"Wz8khilain, 1830, p.58",,
Encore (Idée de persistence),,Askwa,,"Laurent, 1884, p.86",,
Pas encore/ Jamais,Particule,Asma,,"Wz8khilain, 1830, p.45","Nolett-Ille, 1996, p.33",
Nuage ou Ciel,NA,Asokw,,"Wz8khilain, 1830, p.44",,
C'est nuageux,VII;3;s;présent,Asokwat,,"Laurent, 1884, p.104","Laurent, 1884, p.46",
Chapeau,NI,Asolkw8n,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.51",,
Théâtre,VTA isc,Ataladakamek,Nom;Lieu,,,
Là où quelqu'un cuisine,VAI isc,Ataladbokwamek,,"Day, 1994, p.45",,
École,VTA isc,Atalagakidimek,Nom;Lieu,"Day, 1994, p.5",,
Parc animalier,,Atali nanawalm8mek awaasak,,Charland,,
Parc (pour jouer),VAI isc,Atalipapimek,Nom;Lieu,,,
Restaurant,VAI isc,Atalipimek,Nom;Lieu,"Day, 1994, p.45","Day, 1994, p.8",
Fève,NI,Atbakwa,Nom;Plante;Légume,"Nolett-Ille, 1996, p.19",,
Haricot,NI,Atebakw,Nom;Plante;Légume,"Laurent, 1884, p.43",,
Probablement,Participe,Ato,,"Nolett-Ille, 1996, p.40",,
Teinture,NI,Atsigan,Nom;Objet,"Laurent, 1884, p.44",,
Couleur,NI,Atstaw8gan,Nom,Charland,,
Enfant,NA,Aw8sis,Nom;Personne,"Wz8khilain, 1830, p.51","Nolett-Ille, 1996, p.2",
Animal Sauvage,NA,Awaas,Animal,"Masta, 1932, p.54",,
Proie sauvage,,Awaasiia,,"Laurent, 1884, p.29",,
Proie sauvage,,Awaaswiia,,"Laurent, 1884, p.29",,
"Un outil, un instrument.",NI,Awak8gan,Nom;Objet,"Day, 1994, p.547",,
Utilise quelquechose (A) ou quelqu'un.,VTA,Awaka,,"Laurent, 1884, p.182",,
Utilisez quelquechose (A) ou quelqu'un.,VTA,Awakagw,,"Laurent, 1884, p.182",,
Quelqu'un utilise quelquechose (A) ou quelqu'un.,VTA,Awakamek,,"Laurent, 1884, p.182",,
Quelqu'un utilise quelquechose (I).,VTI,Awakat8zik,,"Laurent, 1884, p.182",,
Utilise quelquechose (I).,VTI,Awakato,,"Laurent, 1884, p.182",,
Utilisez quelquechose (I).,VTI,Awakatogw,,"Laurent, 1884, p.182",,
Air,NI,Awan,,"Nolett-Ille, 1996, p.1",,
N'importe qui,Pronom indéfini,Awani,,"Laurent, 1884, p.93","Nolett-Ille, 1996, p.41",
Qui (quelqu'un),Pronom interogatif,Awani,,"Laurent, 1884, p.91",,
Qui es-tu?,,Awani kia,,,,
Qui est-ce?,,Awani na,,"Laurent, 1884, p.91",,
Quelqu’un  (obviatif),Pronom,Awanihi,Pronom,"Day, 1994, p. 48",,
Homme blanc,NA,Awanoch,,"Masta, 1932, p.54",,
"Au-delà, Plus loin",Adv,Awasiwi,,"Laurent, 1884, p.86","Laurent, 1884, p.36",
Ours,NA,Awasos,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.50",,
La grande ourse (L'ours cuillère),NA,Awasosamkw8n,,"Day, 1994, p.49",,
Bois de chauffage,NI,Awazon,,"Wz8khilain, 1830, p.50",,
Guerre,NI,Awdow8gan,,"Nolett-Ille, 1996, p.23",,
Quand c’est calme,VII,Awibega,Verbe,"Laurent, 1884, p.114",,
C’est calme,VII,Awiben,Adjectif,"Day, 1994, p.50",,
"Une vie calme, paisible",NI,Awiben8wzow8gan,Nom,"Day, 1994, p.50",,
Quelqu'un apaise quelqu'un.,VTA,Awigih8mek,,"Laurent, 1884, p.182",,
Apaise quelqu'un.,VTA,Awigiha,,"Laurent, 1884, p.182",,
Apaisez quelqu'un.,VTA,Awigihogw,,"Laurent, 1884, p.182",,
Quelqu'un écrit quelquechose (A),VTA,Awikh8mek,,"Laurent, 1884, p.182",,
Quelqu'un écrit quelquechose (I),VTI,Awikh8zik,,"Laurent, 1884, p.182",,
Écris quelquechose (A),VTA,Awikha,,"Laurent, 1884, p.182",,
Écris quelquechose (I),VTI,Awikha,,"Laurent, 1884, p.182",,
