French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
Je comprends,,N'wawtam,Verbe,"Nolett-Ille, 1996, p.10",,
Je recule,VAI;1;s;présent,N'wazwasa,Verbe,"Day, 1994, p.487",,
Je regrette quelquechose (I),VTI;1;s;présent,N'wdaldam,Verbe,"Day, 1994, p.392",,
Je prend quelqu’un ou quelquechose (A).,VTA;1;s;Présent,N'wden8,Verbe,"Day, 1994, p.395",,
Je prend quelquechose (I).,VTI;1;s;Présent,N'wdenem,Verbe,"Laurent, 1884, p.71",,
Je prend quelqu'un (A),VTA;1;s;présent,N'wdn8,Verbe,"Nolett-Ille, 1996, p.39",,
Je prend quelquechose (I),VTI;1;s;présent,N'wdnem,Verbe,"Nolett-Ille, 1996, p.39",,
J’ai mal au ventre,VAI;1;s;présent,N'wesagagwezi,Verbe,"Laurent, 1884, p.24",,
J’ai le rhume ou je tousse,VAI;1;s;présent,N'wesgwina,Verbe,"Laurent, 1884, p.24",,
Je suis heureux,VAI;1;s;présent,N'wig8dam,Verbe,"Laurent, 1884, p.99",,Se réjouir
Je demeure,VAI;1;s;présent,N'wigi,Verbe,"Nolett-Ille, 1996, p.23",,
Je vais camper (je me déplace pour aller camper),VAI;1;s;présent,N'wigosa,Verbe,"Day, 1994, p.492",,
J'accompagne quelqu'un,VAI;1;s;présent,N'wijawi,Verbe,"Laurent, 1884, p.95",,
J’aide.,VAI;1;s;Présent,N'wijoka,Verbe,"Day, 1994, p.494",,
J’aide avec quelquechose (I).,VTI;1;s;Présent,N'wijokadam,Verbe,"Day, 1994, p.494",,
J’aide quelqu’un ou avec quelquechose (A).,VTA;1;s;Présent,N'wijokam8,Verbe,"Day, 1994, p.495",,
Je m’aide,VTA,N'wijokamzi,Verbe,"Laurent, 1884, p.191",,
Je suis gras,VAI;1;s;présent,N'wikai,Verbe,"Day, 1994, p.495",,
Je prend quelquechose (I) d'indéfini.,VTIi,N'wikwnem,Verbe,"Laurent, 1884, p192",,
Je prendrais quelquechose (I) d'indéfini.,VTIi,N'wikwnemba,Verbe,"Laurent, 1884, p192",,
Je suis riche,VAI;1;s;présent,N'wilawigi,Verbe,"Laurent, 1884, p.97",,
"Dire, Appeler",VTI,N'witam,,"Day, 1994, p.498",,
Je dis à quelqu'un pour qu'il apprenne,VTA;1;s;Présent,N'witamaw8,Verbe,"Day, 1994, p.498",,
"Je suis pressé, J’ai hâte",VAI;1;s;présent,N'wizika,Verbe,"Day, 1994, p.501",,
Je soupe,VAI;1;s;Présent,N'wl8gwipi,Verbe,"Day, 1994, p.504",,
Je soupe,VAI;1;s;Présent,N'wl8gwipi,Verbe,"Day, 1994, p.504",,
J'ai raison,VAI,N'wl8ma,Verbe,"Laurent, 1884, p.94",,
Je crois (croyance) quelquechose (I) est vrai,VTI,N'wl8mawaldam,Verbe,"Laurent, 1884, p.93",,
Je crois (croyance) quelqu'un ou quelquechose (A),VTA,N'wl8mawalm8,Verbe,"Laurent, 1884, p.93",,
Je suis poli(e),VAI,N'wlakamigwzi,Verbe,"Nolett-Ille, 1996, p.38",,
Je suis chanceux(se),VAI;1;s;Présent,N'wlalmegwzi,Verbe,"Nolett-Ille, 1996, p.8",,
Je fais,VTA,N'wlia,Verbe,"Laurent, 1884, p.194",,
Je faisais,VTA,N'wliab,Verbe,"Nolett-Ille, 2006, p.34",,
Je fais quelquechose (A),VTA;1;s;Présent,N'wlih8,Verbe,"Laurent, 1884, p.194",,
Je fais quelquechose (I) pour quelqu'un.,VTI;1;s;présent,N'wlitaw8,Verbe,"Day, 1994, p.406",,
Je me sens bien,VAI;1;s;présent,N'wlitbamalsi,Verbe,"Laurent, 1884, p.112",,
Je dirige bien quelquechose (A),VTA;1;s;présent,N'wlitbokwaa,Verbe,"Laurent, 1884, p.115",,
Je fais quelquechose (I),VTI;1;s;présent,N'wlito,Verbe,"Laurent, 1884, p.194",,Faire quelquechose (I)
Je faisais (fabriquais) quelquechose (I),VTId,N'wlitob,Verbe,"Nolett-Ille, 2006, p.34",,
Je dirige bien quelquechose (A),VTA;1;s;présent,N'wlokwaa,Verbe,"Day, 1994, p.407",,
Je dirige bien,VAI;1;s;Présent,N'wlokwahiga,Verbe,"Day, 1994, p.407",,
Je souffre,VAI;1;s;Présent,N'wzig8wzi,Verbe,"Day, 1994, p.415",,
Coq,NA,N8balha,Nom;Animal;Oiseau,"Masta, 1932, p.55",,
Autant,Conjonction,N8bi,Conjonction,"Laurent, 1884, p.97",,
Autant (en quantité),Conjonction,N8bi kasi,Conjonction,"Laurent, 1884, p.87",,
Autant (en qualité),Conjonction,N8bi ta8lawi,Conjonction,"Laurent, 1884, p.90",,
"Rivage, l'endroit qui va de l'eau à la terre. ",NI,N8dagaki,Nom;Lieu,"Aubéry, 1715, p.453",,
Être sur le point de … (faire une action),Préverbe,N8ji,,"Nolett-Ille, 2006, p.50",,
Jeune fille,NA,N8kskwa,,"Day, 1994, p.385",,
Petite fille,NA,N8kskwasis,,"Laurent, 1884, p.21",,
Cinq (chiffre),Numéral,N8lan,Numéral,"Laurent, 1884, p.73",,
Peu de temps après,Adv,N8n8gaiwi,,"Day, 1994, p.386",,
Grelottement,NA,N8n8gipozow8gan,Nom,"Laurent, 1884, p.24",,
Très tôt,Adv,N8nabiwi,Adverbe,"Day, 1994, p.385",,
"Très ancien, Très vieux",Particule,N8neg8ni,,"Laurent, 1884, p.65",,
Le tout puissant (Religieux),NA,N8ngwichi Ntat8gw,Nom,"Laurent, 1884, p.13",,
L'omnipotent,NA,N8ngwitegilek,Nom,"Laurent, 1884, p.13",,
Quinze (nombre),Numéral,N8nn8kaw,Numéral,"Laurent, 1884, p.74",,
Cinq (objets inanimés),Adjectif numéral cardinal inanimé,N8nnenol,,,,
Cinq (objets animés),Adjectif numéral cardinal animé,N8nnoak,,"Laurent, 1884, p.73",,
Pou (larve ou oeuf),A ?,N8phis,,"Wz8khilain, 1830, p.46",,
Foulard,VII;3;s;présent,N8pkosowan,Objet;Verbe;Vêtement,"Day, 1994, p.387",,
"Collier, foulard, cravate",VII;3;s;présent,N8pkowan,Objet;Verbe;Vêtement,"Wz8khilain, 1830, p.53",,
Il y a longtemps,VII,N8wat,,"Wz8khilain, 1830, p.46",,
Minuit,VII;3;s;présent,N8witbakat,,"Laurent, 1884, p.19",,
Cela (éloigné),Pronom démonstratif Animé,Na,,"Laurent, 1884, p.91",,
Un habitant du bas de la rivière.,NA,Naaia,Nom;Personne,"Day, 1994, p.343",,
En aval (adverbe),Adverbe,Naaiwi,Adverbe,"Day, 1994, p.343",,
Fesse,I ?,Nabi,,"Wz8khilain, 1830, p.48",,
Tôt,Adv,Nabiwi,,"Laurent, 1884, p.86",,
Mon cousin,NA,Nad8gwes,,"Laurent, 1884, p.22",,
Ma cousine,NA,Nad8gweskwa,,"Laurent, 1884, p.22",,
Rare,,Nadawi,,"Nolett-Ille, 1996, p.42",,
Rarement,,Nadawiwi,,"Laurent, 1884, p.101",,
Chasse,NI,Nadialow8gan,,"Wz8khilain, 1830, p.62",,
Chasseur,NA,Nadialwinno,Nom;Personne,"Laurent, 1884, p.34",,
"Prête-moi, laisse-moi avoir quelquechose pour un temps",VTA,Nadmihi,,,,
Quelqu'un pose une question à quelqu'un.,VTA isc,Nadodemokamek,Verbe,"Day, 1994, p.345",,
Une question,NI,Nadodemow8gan,Nom,"Day, 1994, p.345",,
Question,NI,Nadodmow8gan,,"Laurent, 1884, p.92",,
Fruit du cerisier déprimé,NI,Nagakoimen,Nom;Plante;Fruit,"Charland, p.15",,
Seigle,NI,Nagakowimen,Nom;Plante;Fruit,"Laurent, 1884, p.42",,
Sable,NI,Nagakw,Nom;Objet,"Rasles, 1831, p.525",,
Plafond,NI,Nagwiabakw8gan,,"Day, 1994, p.346",,
Dessous,Adv,Nagwiwi,,"Laurent, 1884, p.88","Nolett-Ille, 1996, p.2",
Anguille,NA,Nah8mo,,"Wz8khilain, 1830, p.53",,
Dinde,NA,Nahama,Nom;Animal;Oiseau,"Nolett-Ille, 1996, p.14",,
"Herbe à dinde, millefeuille, Achillea Millefolium",NI,Nahamibagw,Nom;Plante,"Rousseau, 1947, p. 46",,
En descendant le courant;En aval,Adv,Nahiwi;Naaiwi,,"Day, 1994, p.343",,
Coucher de soleil – Soleil couchant,NA,Nakihl8t kizos,,"Laurent, 1884, p.19",,
Un éternuement,NI,Nakwh8m8w8gan,,"Laurent, 1884, p.23",,
Partout,Adv,Nalwiwi,,"Laurent, 1884, p.87",,
Truite arc-en-ciel,NA,Namagw;Namakw,,"Wz8khilain, 1830, p.46",,
Poisson,NA,Namas,,"Wz8khilain, 1830, p.46",,
Viande de poisson,NI,Namasiia,,"Laurent, 1884, p.30",,
Quelqu’un voit quelquechose (A) ou quelqu’un,VTA,Namih8mek,,"Laurent, 1884, p.188",,
Chaise berçante,NI,Nanamnigan,Nom;Objet,"Day, 1994, p.349",,
Berceuse,NI,Nanamniganilintow8gan,Nom,"Day, 1994, p.349",,
Oiseau mouche,NA,Nanatasis,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Quelqu’un garde/prend soin de quelquechose (I),VTI isc,Nanawald8zik,,"Laurent, 1884, p.188",,
Quelqu’un garde/prend soin de quelqu’un ou quelquechose (A),VTA isc,Nanawalm8mek,,"Laurent, 1884, p.188",,
Lune - Celle qui se promène,VAI;participe,Nanib8sat,Verbe;objet,"Laurent, 1884, p.14","Day, 1994, p.351",
Ma joue,NDI,Nanowa,Nom;Objet;Corps,"Day, 1994, p.351",,
Ma joue,NDI,Nanowa,Nom;Objet;Corps,"Day, 1994, p.351",,
Entre,Adv,Nansawiwi,,"Laurent, 1884, p.88",,
Serviette  de table,NI,Napkin,Verbe,"Laurent, 1884, p.28",,
Trois,Chiffre,Nas,,"Wz8khilain, 1830, p.89",,
Trois (chiffre),Numéral,Nas,Numéral,"Laurent, 1884, p.73",,
Treize (nombre),Numéral,Nas8kaw,Numéral,"Laurent, 1884, p.74",,
La respiration,NI,Nasawan,,"Laurent, 1884, p.23",,
Mercredi,NI,Nasda alokan,,"Laurent, 1884, p.19",,
Mercredi,NI,Nasdasanda,,"Nolett-Ille, ???, p.144",,
La trinité,VAI;Participe,Nasichebikinawsit,Verbe;Religion,"Laurent, 1884, p.13",,
Habituellement,Adv,Nat8wi,,"Masta, 1932, p.21",,
Alors;Ensuite;Et puis;Maintenant,Particule,Nawa,,"Masta, 1932, p.19",,
Petite eau (étang),NI,Nbis,,"Wz8khilain, 1830, p.44","Nolett-Ille, 1996, p.42",
Remède,NI,Nbizon,,"Wz8khilain, 1830, p.46",,
Eau minérale,NI,Nbizonbi,Nom,"Day, 1994, p.357",,
Jardin,NI,Nbizonkik8n,Nom;Lieu,"Laurent, 1884, p.69",,
Je paie.,VAI;1;s;présent,Nd'8banka,,"Laurent, 1884, p.114",,
Je paie quelqu’un (A).,VTA;1;s;présent,Nd'8bankaw8,,"Laurent, 1884, p.204",,
Je me repose,VAI;1;s;présent,Nd'8dabi,Verbe,"Laurent, 1884, p.111",,
Je converse,VAI,Nd'8dokazi,,"Masta, 1932, p.75",,
Je discute,VAI,Nd'8dokazi,,"Masta, 1932, p.75",,
Je rame,VAI;1;s;présent,Nd'8dolibia,Verbe,"Laurent, 1884, p.114",,
J'engage quelqu'un (A) d'indéfini.,VTAi,Nd'8gazah8,,"Laurent, 1884, p.72",,
Nous (exclusif) engageons quelqu'un (A) d'indéfini.,VTAi,Nd'8gazah8bna,,"Laurent, 1884, p.72",,
Nous (exclusif) engagerions quelqu'un (A) d'indéfini.,VTAi,Nd'8gazah8bnaba,,"Laurent, 1884, p.72",,
Je vend (sans spécifier quoi).,VAI;1;s;présent,Nd'8kohla,Verbe,"Day, 1994, p.425",,
Je vend quelquechose (A) à quelqu’un.,VTA;1;s;présent,Nd'8kolh8,,"Laurent, 1884, p.189",,
Je vend quelquechose (I) à quelqu’un.,VTI;1;s;Présent,Nd'8kolham,,"Laurent, 1884, p.189",,
Je me lève,VAI;1;s;présent,Nd'8mki,Verbe,"Nolett-Ille, 1996, p.27",,Se lever
Je vend quelquechose  à quelqu’un,VTA,Nd'8nkohl8n,,"Nolett-Ille, 1996, p.50",,
Je vend quelquechose (A) à quelqu’un.,VTA;1;s;Présent,Nd'8nkolh8,,"Laurent, 1884, p.71",,
Je vend quelquechose (A) d'indéfini à quelqu'un.,VTAi,Nd'8nkolh8,,"Laurent, 1884, p.71",,
Je vend quelquechose (I) d'indéfini à quelqu'un.,VTIi,Nd'8nkolh8,,"Laurent, 1884, p.71",,
Je vend quelquechose (A) de défini à quelqu'un.,VTAd,Nd'8nkolh8n,,"Laurent, 1884, p.71",,
Je vend quelquechose (A) de défini à quelqu'un.,VTAd,Nd'8nkolh8n,,"Laurent, 1884, p.71",,
Je vend quelquechose (I) à quelqu’un.,VTI;1;s;Présent,Nd'8nkolhato,,"Day, 1994, p.426",,
Je sue,VAI;1;s;présent,Nd'8psazi,Verbe,"Day, 1994, p.426",,
Je cuis,VAI;1;s;Présent,Nd'8ptadboka,,,,
Je raconte des histoires,VAI,Nd'8tlokazi,,"Day, 1994, p.428",,
Je campe,VAI,Nd'8tsi,,"Day, 1994, p.429",,
je répond (A),VAI,Nd'8zidawa,,"Nolett-Ille, 1996, p.42",,
Je fais du pain,VAI;1;s;Présent,Nd'ab8nka,,"Day, 1994, p.9",,
Je fabrique un panier,VAI,Nd'abaznodaka,,"Laurent, 1884, p.92",,
Nous (exclusif) (nombre connu) fabriquons un panier.,VAI,Nd'abaznodakabna,,"Laurent, 1884, p.92",,
Nous (exclusif) (nombre inconnu) fabriquons un panier.,VAI,Nd'abaznodakhedibna,,"Laurent, 1884, p.92",,
Je suis assis,VAI;1;s;présent,Nd'abi,Verbe,"Nolett-Ille, 1996, p.3",,S’assoir
Je veux quelquechose (I) d'indéfini.,VTI;1;s;Présent,Nd'achwaldam,,"Laurent, 1884, p.72",,
Je veux quelquechose (I) de défini.,VTId,Nd'achwaldamen,,"Laurent, 1884, p.94",,
Je veux quelqu'un (A),VTA,Nd'achwalm8,,,,
Je veux quelqu'un ou quelquechose (A) d'indéfini.,VTAi,Nd'achwalm8,,"Laurent, 1884, p.72",,
"Je cuisine, Je brasse",VAI;1;s;Présent,Nd'adboka,,"Day, 1994, p.9",,
"Je cuisine quelquechose (I), Je brasse quelquechose (I)",VTI;1;s;Présent,Nd'adbokwa,,"Nolett-Ille, 1994, p.12",,
J'enseigne quelquechose (I),VTI;1;s;Présent,Nd'agakidam,,"Laurent, 1884, p.182",,
J'enseigne,VAI,Nd'agakigami,,"Laurent, 1884, p.182",,
J'enseigne quelqu'un (A),VTA,Nd'agakim8,,"Laurent, 1884, p.182",,
On m'enseigne,VAI;1;s;présent,Nd'agakimgwzi,Verbe,"Day, 1994, p.12",,
J'étudie,VAI;1;s;présent,Nd'agakimzi,,"Laurent, 1884, p.204",,
Je lis quelquechose (I),VTI;1;s;présent,Nd'agidam,,"Laurent, 1884, p.182",,
Je lis quelquechose (A),VTA;1;s;présent,Nd'agim8,,"Laurent, 1884, p.182",,
Je lis,VAI;1;s;présent,Nd'agizi,,"Laurent, 1884, p.182",,
J’ai mal (douleur),VTI;1;s;présent,Nd'akwamadam,,"Laurent, 1884, p.103",,
Je suis malade,VAI;1;s;Présent,Nd'akwamalsi,,"Laurent, 1884, p.200",,
Je parle une langue.,VAI;1;s;Présent,Nd'al8dwa,Verbe,Charland,,
"Je patine (littéralement, je glisse en raquette).",VAI;1;s;présent,Nd'al8gemapozi,,"Laurent, 1884, p.50",,
Je vais par là,VAI;1;s;présent,Nd'alagosa,Verbe,"Laurent, 1884, p.95",,
Je pense/crois,VAI;1;s;Présent,Nd'alalda,Verbe,"Day, 1994, p.226",,
Je pense/crois quelquechose (I),VTI;1;s;présent,Nd'alaldam,,"Laurent, 1884, p. 104",,
Je fais (occupation),VAI,Nd'alaloka,,"Laurent, 1884, p.92",,
Je parle allemand,VAI,Nd'alem8n8dwa,,,,
Je pagaye,VAI,Nd'alibia,,Philippe Charland,,
Je pense/présume quelquechose (I).,VTI,Nd'alidah8dam,,"Laurent, 1884, p.183",,
Je pense/présume quelquechose (A).,VTA,Nd'alidah8m8,,"Laurent, 1884, p.183",,
Je pense,VAI,Nd'alidah8zi,,"Day, 1994, p.28",,
Je pense/présume.,VAI,Nd'alidah8zi,,"Laurent, 1884, p.183",,
Je vole (de façon indéterminée),VAI;1;s;Présent,Nd'alidoo,Verbe,Charland,,
Je couds,VAI;1;s;présent,Nd'aligw8nsa,,"Laurent, 1884, p.182",,
Je couds quelquechose (I),VTI;1;s;présent,Nd'aligwam,,"Laurent, 1884, p.182",,
Je couds quelquechose (A),VTA;1;s;présent,Nd'aligwaw8,,"Laurent, 1884, p.182",,
Je chante,VAI;1;s;présent,Nd'alinto,,"Day, 1994, p.155",,
Je m'appelle,VAI;1;s;présent,Nd'aliwizi,,"Laurent, 1884, p.92",,
Je parles Abénaki,VAI;1;s;Présent,Nd'aln8ba8dwa,Verbe,"Day, 1994, p.32","Nollett-Ille, 1996, p.49",
Je travaille,VAI;1;s;présent,Nd'aloka,,"Laurent, 1884, p.98",,
Je commande quelquechose (A) d'indéfini.,VTA;1;s;présent,Nd'alokami,,"Laurent, 1884, p.72",,
Je vais quelque part en marchant (de façon indéterminée).,VAI;1;s;Présent,Nd'alosa,Verbe,"Laurent, 1884, p.111",,Marcher (de façon indéterminée)
Je mange avec une cuillère,VTI;1;s;présent,Nd'amkw8nham,,"Day, 1994, p.385",,
Je pardonne quelqu'un (A),VTA;1;s;présent,Nd'anhalda,,"Nolett-Ille, 1996, p.35",,
Je nourris quelqu'un (A) ou quelquechose de défini.,VTA;1;s;Présent,Nd'asam8,,"Laurent, 1884, p.71",,
Je nourris quelqu'un (A) ou quelquechose de défini.,VTAd,Nd'asam8w8,,"Laurent, 1884, p.71",,
J'attends quelqu'un ou quelquechose (A),VTA,Nd'askawih8,,"Nolett-Ille, 1996, p.2",,
J'attends quelquechose (I),VTI,Nd'askawito,,"Laurent, 1884, p.92",,Attendre quelquechose (I)
J'attends quelqu'un ou quelquechose (A),VTAd,Nd'askawiton,,"Laurent, 1884, p.92",,
Je monte (escaliers).,VAI;1;s;présent,Nd'aspig8dawa,Verbe,"Laurent, 1884, p.95",,
Je fais un canot.,VAI;1;s;présent,Nd'atoli,Verbe,"Rasles, 1831, p.438",,
Je teins ou je couleur quelqu'un ou quelquechose d'animé.,VTA;1;s;présent,Nd'ats8,Verbe,"Laurent, 1884, p.44",,
Je teins ou je couleur.,VAI;1;s;présent,Nd'atsiga,Verbe,"Laurent, 1884, p.44",,
Je teins ou je couleur quelquechose d'inanimé.,VTI;1;s;présent,Nd'atsimen,Verbe,"Laurent, 1884, p.44",,
J'utilise quelquechose (A) ou quelqu'un.,VTA;1;s;présent,Nd'awakam8,,"Laurent, 1884, p.182",,
J'utilise quelquechose (I).,VTI,Nd'awakato,,"Laurent, 1884, p.182",,
J'apaise quelqu'un.,VTA,Nd'awigih8,,"Laurent, 1884, p.182",,
J’écris ou marque quelquechose (A),VTA;1;s;Présent,Nd'awikh8,Verbe,"Laurent, 1884, p.182",,
J’écris ou marque quelquechose (I),VTI;1;s;Présent,Nd'awikham,Verbe,"Laurent, 1884, p.182",,
J’écris,VAI,Nd'awikhiga,,"Laurent, 1884, p.182",,
Je cueille quelquechose (des baies ou des fruits),VAI,Nd'awizi,,"Day, 1994, p.510",,
Je déplace quelqu'un ou quelquechose (A),VTA,Nd'awsk8n8,,"Laurent, 1884, p.182",,
Je déplace quelquechose (I),VTI,Nd'awsk8nem,,"Laurent, 1884, p.182",,
Je trouble quelqu'un ou quelquechose (A),VTA,Nd'awsk8nkah8,,"Laurent, 1884, p.183",,
Je change de position ou de location.,VAI;1;s;présent,Nd'azowiga,Verbe,"Day, 1994, p.56",,
Je déplace mon campement.,VAI;1;s;présent,Nd'azowigabi,Verbe,"Day, 1994, p.56",,Déplacer son campement
Je suis <quelque part>,VAI;1;s;présent,Nd'aï,,"Laurent, 1884, p.161",,
Je dis quelquechose (I),VTIi,Nd'idam,,"Laurent, 1884, p.92",,
Je dis quelquechose (I) de défini,VTId,Nd'idamen,,"Laurent, 1884, p.93",,
Je parle anglais,,Nd'iglism8n8dwa,,,,
Je défends quelquechose (I),VTI;1;s;présent,Nd'ik8dem,,"Laurent, 1884, p.183",,
Je défends quelqu'un ou quelquechose (A),VTA;1;s;présent,Nd'ik8l8,,"Laurent, 1884, p.183",,
Je défends,VAI;1;s;présent,Nd'ik8lwa,,"Laurent, 1884, p.183",,
Je me défend moi-même,VAI;1;s;Présent,Nd'ik8lzi,,"Laurent, 1884, p.183",,
Je pense,VAI,Nd'lidah8zi,,"Day, 1994, p.271",,
Je raconte des histoires en conversant,VAI,Nd'tal8dokazi,,"Day, 1994, p.460",,
Mon menton,NI,Nd8pikan,,"Laurent, 1884, p.25",,
Non,,Nda,,,,
Tu ne m'aimes pas,,Nda K'kzalmiw,,"Nolett-Ille, 1996, p.1",,
Tu ne me comprends pas,,Nda K'wawtamiw,,"Nolett-Ille, 1996, p.10",,
Je ne comprends pas,,Nda N'wawtamow,,"Nolett-Ille, 1996, p.10",,
Je ne t'aime pas,,Nda k'kzalmelow,,"Nolett-Ille, 1996, p.1",,
Je ne te comprends pas,,Nda k'wawtamelow,,"Nolett-Ille, 1996, p.10",,
Tu n'as pas raison,VAI,Nda k'wl8maw,,"Laurent, 1884, p.94",,
Vous n'avez pas raison,VAI,Nda k'wl8mawba,,"Laurent, 1884, p.94",,
Nous (incl.) n'avons pas raison,VAI,Nda k'wl8mawbna,,"Laurent, 1884, p.94",,
Tu ne veux pas quelqu'un (A),VTAi,Nda kd'achwalm8w,,"Laurent, 1884, p.71",,
Tu ne vas pas,VAI,Nda kd'alosaw,,,,
Vous n'allez pas,VAI,Nda kd'alosawba,,,,
Nous n'allons pas (inclusif),VAI,Nda kd'alosawbna,,,,
Je n'aime pas quelqu'un (A),VTA,Nda n'kzalm8w,,"Laurent, 1884, p.71",,
Je ne perds pas quelquechose (I) d'indéfini.,VTIi,Nda n'waniadow,,"Laurent, 1884, p.71",,
Je ne sais pas,,Nda n'wawaldamow,,,,
Je ne le sais pas,,Nda n'wawaldamowen,,,,
Je n'ai pas raison,VAI,Nda n'wl8maw,,"Laurent, 1884, p.94",,
Nous (excl.) n'avons pas raison,VAI,Nda n'wl8mawbna,,"Laurent, 1884, p.94",,
Je ne veux pas quelqu'un (A),VTAi,Nda nd'achwalm8w,,"Laurent, 1884, p.72",,
Je ne vais pas,VAI,Nda nd'alosaw,,,,
Nous n'allons pas (exclusif),VAI,Nda nd'alosawbna,,,,
Il n'a pas raison,VAI,Nda w'wl8mawi,,"Laurent, 1884, p.94",,
Ils n'ont pas raison,VAI,Nda w'wl8mawiak,,"Laurent, 1884, p.94",,
Je ne possède pas quelquechose (A),VTA,Nda waj8nawi,,"Laurent, 1884, p.70",,
Il ne va pas,,Nda wd'alosawi,,,,
Ils ne vont pas,,Nda wd'alosawiak,,,,
Ni,Conjonction,Nda;8da,,"Laurent, 1884, p.89","Nolett-Ille, 1996, p.33",
Non,Adv,Nda;8da,,"Laurent, 1884, p.86",,
Il ne prendrait pas quelquechose (I),VTA,Ndaba wdnemowi,,"Laurent, 1884, p.71",,
{Conditionnel/futur négatif},Particule,Ndaba;ndahaba;8dahaba;O'daaba;Odaaba;8ndaba,,"Nolett-Ille, 2006, p.37,38",,
Mon papa,NAD,Ndadan,,"Masta, 1932, p.58",,
Mon oncle paternel,NAD,Ndadanis,,"Masta, 1932, p.58",,
Zéro (chiffre),Numéral,Ndakagwi,Numéral,"Laurent, 1884, p.91",,
Nullepart,,Ndat8m8;8dat8m8,,,,
Non en effet,Adv,Ndatta,,"Day, 1994, p.418","Nolett-Ille, 1996, p.17",
"Non, effectivement",Particule,Ndatta,,"Day, 1994, p.418",,
Épaule (Mon),NAD,Ndelm8gan,,"Laurent, 1884, p.25",,
Ma tête,NDI,Ndep,Nom;Corps,"Wz8khilain, 1830, p.48",,
Mon mal de tête,NID,Ndepinaw8gan,Nom;Maladie,"Laurent, 1884, p.24",,
Mon cheveu,NAD,Ndepkwan,Nom;Corps,"Wz8khilain, 1830, p.49",,
"Mon totem, mon ancêtre animal ",NAD,Ndodam,Nom;Personne,"Day, 1994, p.167",,
Poitrine,NAD,Ndolka,,"Wz8khilain, 1830, p.49",,
Mon rein,NDI,Ndolo,,"Wz8khilain, 1830, p.48",,
Ma bouche,NDI,Ndon,Nom;Corps,"Wz8khilain, 1830, p.48",,
Ma fille,NAD,Ndoz,,"Nolett-Ille, 1996, p.19",,
Je travaille,VAI,Nd’aloka,,"Laurent, 1884, p.182",,
Lac,NI,Nebes,Nom;Lieu,"Wz8khilain, 1830, p.44",,
Goglu des prés,NA,Nebesichogleskw,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Étang,NI,Nebesis,Nom;Lieu,"Nolett-Ille, 1996, p.17","Nolett-Ille, 1996, p.15",
Eau,NI,Nebi,,"Wz8khilain, 1830, p.44",,
Fontaine,,Nebi moskijoak,,Philippe Charland,,
Rosée,VII;3;s;présent,Nebiskat,,"Laurent, 1884, p.17",,
"Ancien, Vieux",Particule,Neg8ni,,"Wz8khilain, 1830, p.49",,
Superstition,NI,Neg8ni wl8mawaldamw8gan,,"Laurent, 1884, p.69",,
"Vieilles personne, Des ancêtres",NA,Neg8nzosak,Nom;Personne,"Day, 1994, p.358",,
Aile,NDA,Nelgwan,,"Nolett-Ille, 1996, p.1",,
Ma main,NDI,Nelji,Nom;Corps,"Laurent, 1884, p.25",,
Mauvaise température,VII;3;s;présent,Neskekizgat,,,,
Facile,Particule,Ngemi,,"Day, 1994, p.357",,
Onze (nombre),Numéral,Ngwed8kaw,Numéral,"Laurent, 1884, p.74",,
Mille (nombre),Numéral,Ngwed8mkwaki,Numéral,"Laurent, 1884, p.76",,
Six (chiffre),Numéral,Ngwed8s,Numéral,"Laurent, 1884, p.73",,
Seize (nombre),Numéral,Ngwed8s kas8kaw,Numéral,"Laurent, 1884, p.74",,
Six mille (nombre),Numéral,Ngwed8s kas8mkwaki,Numéral,"Laurent, 1884, p.76",,
Six cent (nombre),Numéral,Ngwed8s kasatgwa,Numéral,"Laurent, 1884, p.75",,
Soixante (nombre),Numéral,Ngwed8s kasinska,Numéral,"Laurent, 1884, p.74",,
Cent (nombre),Numéral,Ngwedatgwa,Numéral,"Laurent, 1884, p.74",,
Unique,,Ngwedji,,"Nolett-Ille, 1996, p.50",,
Une année qui passe,VII,Ngwedjigaden,,"Laurent, 1884, p.20",,
L’année prochain,VII,Ngwedjigadga,,"Nolett-Ille, 1996, p.2",,
Une semaine,VII,Ngwedsanda,,"Nolett-Ille, ???, p.208",,
Seul,Adj,Ngweji,,"Nolett-Ille, 1996, p.45",,
Famille,NA,Ngwejigamikw,,"Nolett-Ille, 1996, p.18",,
Une seule famille,NI,Ngwejigamikw,,"Nolett-Ille, 1996, p.18",,
Mon corps,NDI,Nhaga,Nom;Corps,"Wz8khilain, 1830, p.49",,
Mon cuir chevelu,NDI,Nhagakw,,"Wz8khilain, 1830, p.49",,
Trois (objets inanimés),Adjectif numéral cardinal inanimé,Nhenol,,"Day, 1994, p.344",,
Cela (éloigné),Pronom démonstratif Inanimé,Ni,,"Laurent, 1884, p.89",,
Et puis (et après plus tard),Conjonction,Ni,,"Laurent, 1884, p.89",,
"Ainsi, alors",Conjonction,Ni nawa,,"Laurent, 1884, p.89",,
À ce moment là,,Ni tojiwi,,"Laurent, 1884, p.117",,
Alors,Conjonction,Ni wattak,,"Laurent, 1884, p.90",,
"Moi, Je",PP,Nia,,"Wz8khilain, 1830, p.83",,
